GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Mon Jul 25 15:00:14 CEST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	VStorage	ACollector	thicknessInsulation
35	41	10	1	2633.715231106964	13.0	4.0	0.3	Cost not reduced at thicknessInsulation+dthicknessInsulation.
29	41	11	1	2626.441413823119	13.0	4.0	0.27	Iteration step did not reduce cost. Reduce step size to '0.25'.
35	42	1	1	2626.441413823119	13.0	4.0	0.27	Exploration base, Delta = 0.25.
36	42	2	1	2628.3514334040447	15.0	4.0	0.27	Cost not reduced at VStorage+dVStorage.
37	42	3	1	2626.8829772816175	11.0	4.0	0.27	Cost not reduced at VStorage-dVStorage.
38	42	4	1	2642.751804956546	13.0	6.0	0.27	Cost not reduced at ACollector+dACollector.
39	42	5	1	2626.2794707313383	13.0	4.0	0.255	Cost reduced     at thicknessInsulation-dthicknessInsulation.
39	42	6	1	2626.2794707313383	13.0	4.0	0.255	Global search reduced cost.
39	43	1	1	2628.85024221343	13.0	4.0	0.24	Exploration base, Delta = 0.25.
40	43	2	1	2631.3765967540494	15.0	4.0	0.24	Cost not reduced at VStorage+dVStorage.
41	43	3	1	2628.5911667707646	11.0	4.0	0.24	Cost reduced     at VStorage-dVStorage.
42	43	4	1	2645.3609810583243	11.0	6.0	0.24	Cost not reduced at ACollector+dACollector.
43	43	5	1	2634.1079852425164	11.0	4.0	0.225	Cost not reduced at thicknessInsulation-dthicknessInsulation.
44	43	6	1	2626.356990314234	11.0	4.0	0.255	Cost reduced     at thicknessInsulation+dthicknessInsulation.
44	43	7	1	2626.356990314234	11.0	4.0	0.255	Cost not reduced at VStorage-dVStorage.
45	43	8	1	2628.469257653205	15.0	4.0	0.255	Cost not reduced at VStorage+dVStorage.
46	43	9	1	2642.633869423512	13.0	6.0	0.255	Cost not reduced at ACollector+dACollector.
46	43	10	1	2626.441413823119	13.0	4.0	0.27	Cost not reduced at thicknessInsulation+dthicknessInsulation.
46	43	11	1	2628.85024221343	13.0	4.0	0.24	Cost not reduced at thicknessInsulation-dthicknessInsulation.
39	43	12	1	2626.2794707313383	13.0	4.0	0.255	Iteration step did not reduce cost. Reduce step size to '0.125'.
46	44	1	1	2626.2794707313383	13.0	4.0	0.255	Exploration base, Delta = 0.125.
47	44	2	1	2625.9070161780364	12.0	4.0	0.255	Cost reduced     at VStorage-dVStorage.
48	44	3	1	2633.8528751771237	12.0	5.0	0.255	Cost not reduced at ACollector+dACollector.
49	44	4	1	2625.6782331651816	12.0	4.0	0.2625	Cost reduced     at thicknessInsulation+dthicknessInsulation.
49	44	5	1	2625.6782331651816	12.0	4.0	0.2625	Global search reduced cost.
49	45	1	1	2626.8829772816175	11.0	4.0	0.27	Exploration base, Delta = 0.125.
50	45	2	1	2628.2175390488887	10.0	4.0	0.27	Cost not reduced at VStorage-dVStorage.
51	45	3	1	2626.2042967940197	12.0	4.0	0.27	Cost reduced     at VStorage+dVStorage.
52	45	4	1	2634.134227865824	12.0	5.0	0.27	Cost not reduced at ACollector+dACollector.
53	45	5	1	2627.353509983052	12.0	4.0	0.2775	Cost not reduced at thicknessInsulation+dthicknessInsulation.
53	45	6	1	2625.6782331651816	12.0	4.0	0.2625	Cost reduced     at thicknessInsulation-dthicknessInsulation.
54	45	7	1	2625.979729027425	13.0	4.0	0.2625	Cost not reduced at VStorage+dVStorage.
55	45	8	1	2626.2918283392255	11.0	4.0	0.2625	Cost not reduced at VStorage-dVStorage.
56	45	9	1	2633.632015591591	12.0	5.0	0.2625	Cost not reduced at ACollector+dACollector.
56	45	10	1	2625.9070161780364	12.0	4.0	0.255	Cost not reduced at thicknessInsulation-dthicknessInsulation.
56	45	11	1	2626.2042967940197	12.0	4.0	0.27	Cost not reduced at thicknessInsulation+dthicknessInsulation.
49	45	12	1	2625.6782331651816	12.0	4.0	0.2625	Iteration step did not reduce cost. Reduce step size to '0.0625'.
56	46	1	1	2625.6782331651816	12.0	4.0	0.2625	Exploration base, Delta = 0.0625.
57	46	2	1	2625.8242233760584	12.5	4.0	0.2625	Cost not reduced at VStorage+dVStorage.
58	46	3	1	2625.854161567177	11.5	4.0	0.2625	Cost not reduced at VStorage-dVStorage.
59	46	4	1	2629.6692692870474	12.0	4.5	0.2625	Cost not reduced at ACollector+dACollector.
60	46	5	1	2625.7633765751193	12.0	4.0	0.25875	Cost not reduced at thicknessInsulation-dthicknessInsulation.
61	46	6	1	2625.8926455651817	12.0	4.0	0.26625	Cost not reduced at thicknessInsulation+dthicknessInsulation.
61	46	7	1	2625.8242233760584	12.5	4.0	0.2625	Cost not reduced at VStorage+dVStorage.
61	46	8	1	2625.854161567177	11.5	4.0	0.2625	Cost not reduced at VStorage-dVStorage.
61	46	9	1	2629.6692692870474	12.0	4.5	0.2625	Cost not reduced at ACollector+dACollector.
61	46	10	1	2625.7633765751193	12.0	4.0	0.25875	Cost not reduced at thicknessInsulation-dthicknessInsulation.
61	46	11	1	2625.8926455651817	12.0	4.0	0.26625	Cost not reduced at thicknessInsulation+dthicknessInsulation.
49	46	12	1	2625.6782331651816	12.0	4.0	0.2625	Iteration step did not reduce cost. Maximum number of step reductions reached.
49	46	13	1	2625.6782331651816	12.0	4.0	0.2625	Minimum point.
