GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Fri Jul 29 09:47:28 CEST 2016

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	VStorage	ACollector	thicknessInsulation
42	36	10	1	1580.9795753264034	1.0	5.0	0.18	Cost not reduced at thicknessInsulation+dthicknessInsulation.
42	36	11	1	1588.145706776313	1.0	5.0	0.12	Cost not reduced at thicknessInsulation-dthicknessInsulation.
35	36	12	1	1574.4212191639053	1.0	5.0	0.15	Iteration step did not reduce cost. Reduce step size to '0.25'.
42	37	1	1	1574.4212191639053	1.0	5.0	0.15	Exploration base, Delta = 0.25.
43	37	2	1	1626.311487544774	3.0	5.0	0.15	Cost not reduced at VStorage+dVStorage.
44	37	3	1	1572.9245452790963	1.0	3.0	0.15	Cost reduced     at ACollector-dACollector.
45	37	4	1	1573.9860423672055	1.0	3.0	0.165	Cost not reduced at thicknessInsulation+dthicknessInsulation.
46	37	5	1	1576.9511156130452	1.0	3.0	0.135	Cost not reduced at thicknessInsulation-dthicknessInsulation.
44	37	6	1	1572.9245452790963	1.0	3.0	0.15	Global search reduced cost.
46	38	1	1	1577.960981508204	1.0	1.0	0.15	Exploration base, Delta = 0.25.
47	38	2	1	1630.1004566158836	3.0	1.0	0.15	Cost not reduced at VStorage+dVStorage.
47	38	3	1	1572.9245452790963	1.0	3.0	0.15	Cost reduced     at ACollector+dACollector.
47	38	4	1	1573.9860423672055	1.0	3.0	0.165	Cost not reduced at thicknessInsulation+dthicknessInsulation.
47	38	5	1	1576.9511156130452	1.0	3.0	0.135	Cost not reduced at thicknessInsulation-dthicknessInsulation.
48	38	6	1	1625.3622711959977	3.0	3.0	0.15	Cost not reduced at VStorage+dVStorage.
48	38	7	1	1574.4212191639053	1.0	5.0	0.15	Cost not reduced at ACollector+dACollector.
48	38	8	1	1577.960981508204	1.0	1.0	0.15	Cost not reduced at ACollector-dACollector.
48	38	9	1	1573.9860423672055	1.0	3.0	0.165	Cost not reduced at thicknessInsulation+dthicknessInsulation.
48	38	10	1	1576.9511156130452	1.0	3.0	0.135	Cost not reduced at thicknessInsulation-dthicknessInsulation.
44	38	11	1	1572.9245452790963	1.0	3.0	0.15	Iteration step did not reduce cost. Reduce step size to '0.125'.
48	39	1	1	1572.9245452790963	1.0	3.0	0.15	Exploration base, Delta = 0.125.
49	39	2	1	1602.993402843494	2.0	3.0	0.15	Cost not reduced at VStorage+dVStorage.
50	39	3	1	1572.9880569670772	1.0	4.0	0.15	Cost not reduced at ACollector+dACollector.
51	39	4	1	1574.5688023431594	1.0	2.0	0.15	Cost not reduced at ACollector-dACollector.
52	39	5	1	1572.9617968430382	1.0	3.0	0.1575	Cost not reduced at thicknessInsulation+dthicknessInsulation.
53	39	6	1	1574.3055888142137	1.0	3.0	0.1425	Cost not reduced at thicknessInsulation-dthicknessInsulation.
53	39	7	1	1602.993402843494	2.0	3.0	0.15	Cost not reduced at VStorage+dVStorage.
53	39	8	1	1572.9880569670772	1.0	4.0	0.15	Cost not reduced at ACollector+dACollector.
53	39	9	1	1574.5688023431594	1.0	2.0	0.15	Cost not reduced at ACollector-dACollector.
53	39	10	1	1572.9617968430382	1.0	3.0	0.1575	Cost not reduced at thicknessInsulation+dthicknessInsulation.
53	39	11	1	1574.3055888142137	1.0	3.0	0.1425	Cost not reduced at thicknessInsulation-dthicknessInsulation.
44	39	12	1	1572.9245452790963	1.0	3.0	0.15	Iteration step did not reduce cost. Reduce step size to '0.0625'.
53	40	1	1	1572.9245452790963	1.0	3.0	0.15	Exploration base, Delta = 0.0625.
54	40	2	1	1589.1973348531537	1.5	3.0	0.15	Cost not reduced at VStorage+dVStorage.
55	40	3	1	1572.7668949268327	1.0	3.5	0.15	Cost reduced     at ACollector+dACollector.
56	40	4	1	1572.730970465774	1.0	3.5	0.15375	Cost reduced     at thicknessInsulation+dthicknessInsulation.
56	40	5	1	1572.730970465774	1.0	3.5	0.15375	Global search reduced cost.
57	41	1	1	1572.9570888572557	1.0	4.0	0.1575	Exploration base, Delta = 0.0625.
58	41	2	1	1589.2773553446195	1.5	4.0	0.1575	Cost not reduced at VStorage+dVStorage.
59	41	3	1	1573.6688179831929	1.0	4.5	0.1575	Cost not reduced at ACollector+dACollector.
60	41	4	1	1572.7372539185226	1.0	3.5	0.1575	Cost reduced     at ACollector-dACollector.
61	41	5	1	1573.2220445974817	1.0	3.5	0.16125	Cost not reduced at thicknessInsulation+dthicknessInsulation.
61	41	6	1	1572.730970465774	1.0	3.5	0.15375	Cost reduced     at thicknessInsulation-dthicknessInsulation.
62	41	7	1	1588.8739983997116	1.5	3.5	0.15375	Cost not reduced at VStorage+dVStorage.
63	41	8	1	1572.8074811211377	1.0	3.0	0.15375	Cost not reduced at ACollector-dACollector.
64	41	9	1	1572.8913441371537	1.0	4.0	0.15375	Cost not reduced at ACollector+dACollector.
64	41	10	1	1572.7668949268327	1.0	3.5	0.15	Cost not reduced at thicknessInsulation-dthicknessInsulation.
64	41	11	1	1572.7372539185226	1.0	3.5	0.1575	Cost not reduced at thicknessInsulation+dthicknessInsulation.
56	41	12	1	1572.730970465774	1.0	3.5	0.15375	Iteration step did not reduce cost. Maximum number of step reductions reached.
56	41	13	1	1572.730970465774	1.0	3.5	0.15375	Minimum point.
